,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
37,25.0,한국전력,21550.0,550.0,-2.49%,5000.0,138343.0,641964.0,15.14,1975324.0,-2.87,-12.63,
41,26.0,LG,85500.0,1100.0,-1.27%,5000.0,134492.0,157301.0,35.51,208793.0,10.87,4.89,
42,27.0,SK,178000.0,1000.0,+0.56%,200.0,130293.0,73198.0,24.78,107827.0,-16.96,-3.67,
43,28.0,카카오뱅크,26550.0,850.0,-3.10%,5000.0,126623.0,476921.0,16.81,1045994.0,37.24,4.68,
44,29.0,삼성에스디에스,160400.0,5000.0,-3.02%,500.0,124114.0,77378.0,18.52,133082.0,17.9,8.22,
45,30.0,한화에어로스페이스,241000.0,32000.0,+15.31%,5000.0,122018.0,50630.0,35.92,3091279.0,14.93,25.6,
49,31.0,크래프톤,252000.0,1500.0,+0.60%,100.0,121879.0,48364.0,34.84,122235.0,20.62,11.16,
50,32.0,KT&G,91300.0,200.0,-0.22%,5000.0,118984.0,130322.0,44.27,159082.0,13.8,9.76,
51,33.0,SK이노베이션,121800.0,4400.0,+3.75%,5000.0,116606.0,95736.0,22.91,507662.0,46.42,1.22,
52,34.0,삼성전기,155000.0,1100.0,+0.71%,5000.0,115775.0,74694.0,31.45,474474.0,28.44,5.5,
53,35.0,HD현대중공업,124900.0,3600.0,+2.97%,5000.0,110878.0,88773.0,7.87,195296.0,449.28,0.47,
57,36.0,SK텔레콤,51500.0,700.0,-1.34%,100.0,110617.0,214790.0,42.61,488825.0,10.31,9.63,
58,37.0,HMM,15700.0,170.0,-1.07%,5000.0,108179.0,689039.0,10.69,1547262.0,8.58,4.59,
59,38.0,두산에너빌리티,16780.0,490.0,-2.84%,5000.0,107486.0,640561.0,17.78,5048015.0,192.87,0.78,
60,39.0,SK스퀘어,77200.0,1700.0,+2.25%,100.0,107293.0,138981.0,49.77,568322.0,-8.45,-8.04,
61,40.0,우리금융지주,14050.0,20.0,-0.14%,5000.0,105649.0,751949.0,41.21,1664208.0,4.15,8.3,
65,41.0,기업은행,13220.0,90.0,-0.68%,5000.0,105420.0,797426.0,14.89,1618021.0,3.67,9.85,
66,42.0,KT,37000.0,700.0,-1.86%,5000.0,95408.0,257861.0,45.38,703420.0,9.52,6.05,
67,43.0,고려아연,446500.0,4500.0,-1.00%,5000.0,93357.0,20909.0,17.93,25940.0,17.09,5.72,
68,44.0,하이브,222500.0,4000.0,-1.77%,500.0,92676.0,41652.0,21.05,271183.0,49.4,6.58,
69,45.0,포스코인터내셔널,52400.0,400.0,-0.76%,5000.0,92184.0,175923.0,6.96,372829.0,13.67,13.36,
73,46.0,S-Oil,80400.0,2400.0,+3.08%,2500.0,90517.0,112583.0,78.69,422439.0,9.88,10.83,
74,47.0,한화오션,28250.0,300.0,+1.07%,5000.0,86546.0,306359.0,17.05,1280462.0,37.32,6.33,
75,48.0,에코프로머티,123500.0,8000.0,-6.08%,500.0,85197.0,68985.0,2.51,471481.0,1452.94,0.91,
76,49.0,HD한국조선해양,119800.0,100.0,+0.08%,5000.0,84786.0,70773.0,26.84,161931.0,38.24,2.26,
77,50.0,대한항공,21650.0,400.0,-1.81%,5000.0,79720.0,368221.0,16.69,801049.0,7.54,11.46,
